ISBN,Book-Rating,Total-Reviewers
000649840X,7.767441860465116,43
0006513204,7.4,15
0006513220,9.454545454545455,11
0006514855,7.0,12
0006547834,8.066666666666666,15
0006550576,7.266666666666667,15
0006550681,8.357142857142858,14
0006550789,7.5,12
0007108273,7.454545454545454,11
0007110928,7.703703703703703,27
0007154615,7.357142857142857,14
0007170866,6.454545454545454,11
0020198817,7.933333333333334,15
0020198906,7.235294117647059,17
0020199600,8.416666666666666,24
002026478X,7.615384615384615,13
0020427859,7.545454545454546,11
0020442009,8.583333333333334,12
0020442203,8.724137931034482,29
0020442300,8.636363636363637,11
0020442602,8.76923076923077,13
0020519001,6.833333333333333,12
0020532105,9.181818181818182,11
002542730X,7.805194805194805,77
0028604199,7.909090909090909,33
0028604202,8.294117647058824,17
0060002050,7.538461538461538,13
0060002492,7.25,12
006000438X,7.542857142857143,35
0060005424,8.5,12
0060008024,8.125,16
0060008032,7.257142857142857,35
0060008776,6.84,25
006001203X,7.409090909090909,22
0060012781,8.533333333333333,15
0060080841,7.928571428571429,14
0060081961,7.7272727272727275,11
0060083298,8.0,11
0060083948,6.65,20
0060084405,7.8,15
0060085444,7.176470588235294,17
0060085452,8.130434782608695,23
0060086246,7.866666666666666,15
0060086386,6.052631578947368,19
0060090367,7.518518518518518,27
0060090375,7.2,15
0060090383,7.611111111111111,18
0060096195,8.132075471698114,53
0060096209,7.176470588235294,17
0060168013,8.5,24
006016848X,6.947368421052632,57
006017143X,8.333333333333334,15
0060171928,6.909090909090909,11
0060172916,7.666666666666667,12
0060173289,7.610169491525424,59
0060175400,8.384615384615385,78
0060175818,8.0,11
0060175966,8.147058823529411,34
0060176806,5.928571428571429,14
0060184957,7.416666666666667,12
0060185147,8.0,12
0060188731,7.911111111111111,45
0060191988,6.4,15
0060192119,7.888888888888889,18
0060192704,8.125,16
0060193395,7.615384615384615,13
006019443X,7.4375,16
0060194448,7.761904761904762,21
0060194790,6.875,16
006019491X,8.1,40
0060196092,7.333333333333333,12
0060198125,6.916666666666667,12
0060198133,7.689655172413793,29
0060198346,6.0,15
0060199652,8.266666666666667,60
0060248025,8.766666666666667,30
0060256656,9.75,20
0060256672,9.4,25
0060256737,9.045454545454545,22
0060263857,9.416666666666666,12
0060294698,8.785714285714286,14
0060391448,7.909090909090909,22
0060391502,6.166666666666667,12
0060391626,8.36,75
0060391677,5.818181818181818,11
0060392452,7.80379746835443,158
0060392827,7.076923076923077,13
006039384X,7.357142857142857,14
0060502258,7.771084337349397,166
0060504080,8.538461538461538,13
0060505885,7.208333333333333,24
0060507403,7.545454545454546,11
0060507845,7.636363636363637,11
0060508302,8.444444444444445,18
006050918X,6.583333333333333,12
0060511508,7.461538461538462,13
0060512806,8.0,22
0060512822,8.264705882352942,34
0060513640,7.315789473684211,19
0060514930,8.083333333333334,12
0060517794,8.0,30
0060519134,7.333333333333333,18
0060529709,7.529411764705882,17
006053429X,8.363636363636363,11
0060539860,8.0,11
0060540753,7.555555555555555,18
0060542128,7.357142857142857,14
0060557257,7.7894736842105265,19
0060557540,7.454545454545454,11
0060558199,8.105263157894736,19
0060559128,6.928571428571429,14
0060560754,7.583333333333333,12
0060562080,7.538461538461538,13
0060652934,7.777777777777778,18
0060740450,6.516129032258065,31
0060807792,8.727272727272727,11
0060809833,8.266666666666667,30
0060830956,8.55,20
006091307X,6.363636363636363,11
